carrera,Palabras_clave,,,,
Ingeniería en Sistemas,"Gusto por la tecnología, lógica, matemáticas",,,,
Psicología,"Empatía, interés por el comportamiento humano",,,,
Administración de Empresas,"Liderazgo, organización, toma de decisiones",,,,
Turismo,"Interés por culturas, atención al cliente, idiomas",,,,
Ingeniería en Neurotecnología,Pasión por neurociencia y tecnología,,,,
 Diseño de Experiencias Inmersivas,"Creatividad, gusto por realidad virtual",,,,
 Biología de Vida Extrema,Interés en organismos en ambientes hostiles,,,,
Ingeniería de Alimentos del Futuro,Curiosidad por alimentación sostenible,,,,
Arqueología Subacuática,Pasión por historia y buceo,,,,
Ciencias de la Felicidad,Interés en bienestar emocional,,,,
Ingeniería en Desastres Naturales,Gusto por geología y prevención,,,,
Diseño de Juguetes Educativos,"Creatividad, pedagogía",,,,
Criminología Digital,Interés en ciberseguridad y psicología criminal,,,,
Ecología Urbana,Pasión por sostenibilidad en ciudades,,,,
Ingeniería en Energías Limpias,Gusto por física y medio ambiente,,,,
Antropología Digital,Interés en tecnología y culturas virtuales,,,,
Ingeniería en Deportes,Pasión por deporte y biomecánica,,,,
Diseño de Sonido para Cine,"Sensibilidad auditiva, creatividad",,,,
Astroagricultura,Interés en agricultura y exploración espacial,,,,
Ingeniería en Moda Sostenible,"Conciencia ecológica, diseño",,,,
 Psicología de Videojuegos,Gusto por gaming y comportamiento humano,,,,
 Zoología de Criaturas Mitológicas,Fascinación por mitos y biología,,,,
Ingeniería en Resurrección de Especies,Interés en genética y conservación,,,,
 Diseño de Espacios para Mascotas,"Amor por animales, arquitectura",,,,
Meteorología Extrema,Pasión por clima y fenómenos atípicos,,,,
 Ingeniería en Aromas,"Sensibilidad olfativa, química",,,,
Sociología de Internet,Interés en comunidades online,,,,
 Ingeniería en Juguetes Robóticos,"Robótica, creatividad",,,,
Medicina de Viajes en el Tiempo,Interés en física teórica y biología,,,,
Diseño de Prótesis Artísticas,"Arte, medicina",,,,
Ingeniería en Sueños,Fascinación por onírica y neurociencia,,,,
Arqueología de Redes Sociales,Interés en historia digital,,,,
 Ingeniería en Entretenimiento,"Creatividad, tecnología",,,,
Ingeniería en Neurotecnología,Pasión por neurociencia y tecnología,,,,
Diseño de Experiencias Inmersivas,"Creatividad, gusto por realidad virtual",,,,
Biología de Extremófilos,Interés en organismos en ambientes hostiles,,,,
Ingeniería en Alimentos Alternativos,Curiosidad por alimentación sostenible,,,,
Arqueología Subacuática,Pasión por historia y buceo,,,,
Ingeniería en Resiliencia Urbana,Gusto por urbanismo y prevención de riesgos,,,,
Criminología Digital,Interés en ciberseguridad y psicología criminal,,,,
Ecología Urbana,Pasión por sostenibilidad en ciudades,,,,
Antropología Digital,Interés en tecnología y culturas virtuales,,,,
Ingeniería en Biomecánica Deportiva,Pasión por deporte y tecnología,,,,
Diseño de Sonido para Medios,"Sensibilidad auditiva, creatividad",,,,
Agroecología,Interés en agricultura y ecología,,,,
Ingeniería en Moda Circular,"Conciencia ecológica, diseño",,,,
Psicología de Videojuegos,Gusto por gaming y comportamiento humano,,,,
Ingeniería en Energías del Hidrógeno,Gusto por física y energías renovables,,,,
Sociología de Internet,Interés en comunidades online,,,,
Ingeniería en Aromas y Fragancias,"Sensibilidad olfativa, química",,,,
Derecho de la Inteligencia Artificial,Interés en leyes y tecnología,,,,
Medicina Espacial,Pasión por astronáutica y fisiología humana,,,,
Diseño de Prótesis Personalizadas,"Arte, medicina",,,,
Ingeniería en Nanotecnología,Interés en física y materiales a escala microscópica,,,,
Arqueología de Medios Digitales,Pasión por historia y tecnología,,,,
